母猪品种,variety,体况,body_condition,季节,season,胎次,配种前天数,配种后天数,产子后天数,产子数量,断奶后天数,饲料量
二元母猪,5,偏胖,3,春,0,2,3,,,,,3.441700916439072
海波儿猪,2,很瘦,0,秋,2,6,,,17,6,,5.432731840943564
二元母猪,5,很瘦,0,夏,1,3,,,,,7,3.523278654660148
海波儿猪,2,很瘦,0,夏,1,4,,3,,,,2.792944896339465
荣昌母猪,1,标准,2,春,0,5,2,,,,,3.2415533777577332
苏太母猪,4,很胖,4,夏,1,3,9,,,,,3.072790794539412
海波儿猪,2,很胖,4,冬,3,2,,,,,7,3.326712903443332
太湖母猪,0,很胖,4,冬,3,4,,,,,3,3.232864186745599
海波儿猪,2,偏瘦,1,秋,2,4,,,,,2,3.736652743922427
苏太母猪,4,偏瘦,1,夏,1,6,7,,,,,3.0102042213507585
太湖母猪,3,很胖,4,冬,3,3,,7,,,,1.9239321701280627
海波儿猪,2,偏瘦,1,春,0,4,3,,,,,3.047257456823952
太湖母猪,3,标准,2,冬,3,3,,,,,4,3.2502615210799264
荣昌母猪,1,偏胖,3,夏,1,5,,,,,3,3.219821218567343
太湖母猪,0,偏瘦,1,夏,1,5,,,,,1,3.7141713703018917
二元母猪,5,偏胖,3,春,0,4,,,10,4,,4.367224941546184
荣昌母猪,1,标准,2,夏,1,6,,,,,4,3.2872547677772754
海波儿猪,2,偏胖,3,秋,2,4,2,,,,,3.0578520773971074
荣昌母猪,1,偏瘦,1,冬,3,3,,,17,3,,4.27880648193979
二元母猪,5,偏胖,3,冬,3,4,,,16,4,,4.378069150093853
太湖母猪,0,很瘦,0,秋,2,1,,,5,1,,3.5128898684490433
太湖母猪,3,很瘦,0,夏,1,2,,,,,3,3.3241425694321323
苏太母猪,4,标准,2,春,0,1,,2,,,,2.0793394984952616
苏太母猪,4,偏瘦,1,冬,3,3,,,20,3,,4.1478137480228545
太湖母猪,0,很瘦,0,冬,3,4,4,,,,,3.619717546685563
苏太母猪,4,很胖,4,夏,1,6,,,21,6,,5.06004526464173
太湖母猪,0,很胖,4,春,0,3,3,,,,,2.757022868697164
太湖母猪,0,偏瘦,1,夏,1,2,,3,,,,3.069441998185665
苏太母猪,4,很瘦,0,夏,1,4,,,5,4,,4.504236703253284
荣昌母猪,1,很瘦,0,春,0,6,,3,,,,2.5324045039815375
太湖母猪,3,很瘦,0,春,0,1,,3,,,,1.8996294430688296
苏太母猪,4,很瘦,0,冬,3,5,,,,,5,3.6652490949007737
太湖母猪,3,标准,2,春,0,4,7,,,,,3.0865071501985137
二元母猪,5,偏胖,3,春,0,6,,7,,,,3.076598448611997
海波儿猪,2,很瘦,0,秋,2,1,9,,,,,3.53114356206907
太湖母猪,3,很胖,4,春,0,6,3,,,,,2.7210249412575713
荣昌母猪,1,偏胖,3,秋,2,6,,,22,6,,5.00004667088349
太湖母猪,3,标准,2,秋,2,4,,,,,3,3.323682106115855
太湖母猪,0,很瘦,0,冬,3,6,2,,,,,3.308169819539451
荣昌母猪,1,标准,2,秋,2,3,,2,,,,2.128343281600956
荣昌母猪,1,偏瘦,1,冬,3,1,,2,,,,2.7835008836311563
二元母猪,5,很瘦,0,秋,2,3,1,,,,,3.649331916375576
二元母猪,5,很胖,4,夏,1,2,5,,,,,2.7473985674332564
太湖母猪,0,很胖,4,春,0,6,,,18,6,,5.028364315434558
太湖母猪,3,很胖,4,秋,2,5,,5,,,,2.5429956602338715
二元母猪,5,偏胖,3,秋,2,1,,,18,1,,3.334650178964721
太湖母猪,0,很胖,4,秋,2,6,,5,,,,2.1319481967693275
荣昌母猪,1,很瘦,0,夏,1,5,,,9,5,,4.946938992251163
苏太母猪,4,偏胖,3,春,0,4,5,,,,,2.8910584658175695
二元母猪,5,偏胖,3,春,0,4,3,,,,,2.792167510273293
荣昌母猪,1,偏胖,3,秋,2,6,,,,,5,3.38374810796909
太湖母猪,0,偏胖,3,秋,2,2,,3,,,,1.961161300519977
荣昌母猪,1,偏瘦,1,秋,2,6,,,16,6,,5.188047241809315
太湖母猪,0,很胖,4,夏,1,5,,,28,5,,4.693881855778059
苏太母猪,4,偏胖,3,冬,3,2,,3,,,,2.4358471535116673
二元母猪,5,标准,2,春,0,2,,3,,,,2.147170643633629
荣昌母猪,1,偏瘦,1,春,0,6,1,,,,,3.429520401064045
海波儿猪,2,很胖,4,春,0,5,,,12,5,,4.60305038143743
太湖母猪,0,很瘦,0,冬,3,5,,,4,5,,5.074356637484614
二元母猪,5,标准,2,夏,1,3,,,,,2,3.39864951098292
海波儿猪,2,很瘦,0,夏,1,1,,,,,3,3.6384735106630854
太湖母猪,0,偏胖,3,秋,2,2,,,26,2,,3.7380861714312257
海波儿猪,2,偏瘦,1,夏,1,3,,,13,3,,4.119512946577459
荣昌母猪,1,偏胖,3,冬,3,3,3,,,,,3.1635680512690705
二元母猪,5,很胖,4,冬,3,5,,,,,4,3.204476459366
二元母猪,5,偏瘦,1,夏,1,2,,3,,,,3.1400851613933365
太湖母猪,3,偏胖,3,春,0,1,2,,,,,2.947436647310992
荣昌母猪,1,标准,2,夏,1,3,7,,,,,2.9763579036324086
太湖母猪,0,偏瘦,1,夏,1,4,,,9,4,,4.777451384083841
二元母猪,5,标准,2,春,0,1,,,26,1,,3.3203921548310555
苏太母猪,4,标准,2,秋,2,2,,7,,,,2.8415948553972856
荣昌母猪,1,偏瘦,1,秋,2,4,9,,,,,2.8827461998514914
苏太母猪,4,标准,2,秋,2,5,,,21,5,,4.775930978411788
苏太母猪,4,很胖,4,夏,1,1,,,14,1,,3.2321136290290204
荣昌母猪,1,标准,2,秋,2,6,4,,,,,3.6029822577732933
海波儿猪,2,标准,2,冬,3,5,,4,,,,2.064387640604976
海波儿猪,2,很瘦,0,夏,1,5,,4,,,,2.445660456405524
苏太母猪,4,标准,2,夏,1,6,,,13,6,,5.059361620797613
海波儿猪,2,偏瘦,1,夏,1,3,,4,,,,2.45356159351296
太湖母猪,3,很瘦,0,冬,3,6,3,,,,,3.2024259460825135
苏太母猪,4,偏瘦,1,秋,2,1,2,,,,,3.1549394133987034
二元母猪,5,很胖,4,冬,3,5,,2,,,,1.9236667881974636
海波儿猪,2,偏瘦,1,夏,1,1,,2,,,,2.5371195974009657
太湖母猪,0,很胖,4,秋,2,1,1,,,,,3.2089116693212034
太湖母猪,0,标准,2,秋,2,2,,,22,2,,3.847498886641946
太湖母猪,0,偏瘦,1,秋,2,5,,,,,4,3.414258910215286
太湖母猪,0,偏胖,3,夏,1,6,,1,,,,2.2180609720366316
二元母猪,5,偏瘦,1,春,0,1,,1,,,,2.087837433612543
苏太母猪,4,很瘦,0,秋,2,5,,1,,,,2.3702530417590353
苏太母猪,4,标准,2,冬,3,1,,1,,,,2.1665576892761202
荣昌母猪,1,标准,2,夏,1,6,,1,,,,2.9487232640605026
苏太母猪,4,标准,2,夏,1,6,1,,,,,3.0055608187999705
太湖母猪,0,很瘦,0,夏,1,1,,,19,1,,3.9709529611651595
二元母猪,5,偏胖,3,夏,1,6,,1,,,,2.1854836924112893
荣昌母猪,1,很胖,4,春,0,2,,1,,,,1.93096477029935
苏太母猪,4,很胖,4,冬,3,5,,,15,5,,4.597611321045568
太湖母猪,0,很胖,4,秋,2,4,,,28,4,,4.235216985230449
海波儿猪,2,标准,2,春,0,1,,,4,1,,3.6925318146116526
海波儿猪,2,偏胖,3,秋,2,1,,,12,1,,3.416681460468982
海波儿猪,2,标准,2,春,0,2,,1,,,,2.392778336461189
海波儿猪,2,标准,2,秋,2,4,,1,,,,2.0637944168531703
海波儿猪,2,标准,2,春,0,4,,1,,,,2.7008336362162324
太湖母猪,3,偏瘦,1,冬,3,6,1,,,,,3.3034374543854934
二元母猪,5,标准,2,秋,2,5,,,4,5,,4.7983531822328604
苏太母猪,4,标准,2,冬,3,3,7,,,,,3.5588884296712777
荣昌母猪,1,偏胖,3,秋,2,3,,,,,5,3.218668831014787
苏太母猪,4,标准,2,冬,3,3,1,,,,,3.302584814206714
海波儿猪,2,偏胖,3,夏,1,3,,,,,5,3.251012469389321
太湖母猪,3,标准,2,春,0,6,2,,,,,3.479251099453551
苏太母猪,4,偏胖,3,秋,2,6,,,23,6,,5.219206361764643
二元母猪,5,很瘦,0,冬,3,6,3,,,,,3.2969325839107886
苏太母猪,4,标准,2,冬,3,5,,,,,1,3.3404549436129494
苏太母猪,4,偏胖,3,冬,3,5,6,,,,,2.9036044383739985
二元母猪,5,标准,2,秋,2,3,6,,,,,3.511695246625548
苏太母猪,4,很瘦,0,夏,1,6,9,,,,,3.7224889742020038
太湖母猪,3,标准,2,夏,1,3,,,,,3,3.5963519006556033
荣昌母猪,1,很瘦,0,秋,2,1,6,,,,,3.4089625427531076
二元母猪,5,很瘦,0,秋,2,5,8,,,,,3.8698641189034566
苏太母猪,4,很胖,4,冬,3,5,,8,,,,2.2214173272951157
荣昌母猪,1,偏胖,3,冬,3,6,,8,,,,2.2215964917661877
荣昌母猪,1,偏胖,3,秋,2,3,3,,,,,3.2900677677744374
荣昌母猪,1,偏胖,3,春,0,2,,,22,2,,3.7773241474432484
太湖母猪,3,很胖,4,冬,3,2,,,28,2,,3.6641801122535975
太湖母猪,0,偏瘦,1,春,0,5,,,8,5,,4.991497747288358
荣昌母猪,1,标准,2,春,0,6,,,15,6,,5.1730279890771245
二元母猪,5,偏瘦,1,秋,2,5,,3,,,,2.4180434594956246
太湖母猪,3,偏胖,3,春,0,3,,,24,3,,4.089045818009837
海波儿猪,2,偏瘦,1,冬,3,2,,,,,5,3.369616173572145
太湖母猪,3,很胖,4,冬,3,5,,3,,,,2.3403909109763776
二元母猪,5,偏瘦,1,冬,3,5,1,,,,,3.1729456535592035
海波儿猪,2,很瘦,0,秋,2,3,4,,,,,3.9207712674567787
太湖母猪,3,偏瘦,1,春,0,3,,,,,1,3.6426172387342186
海波儿猪,2,偏瘦,1,秋,2,5,,,,,5,3.422150312495567
海波儿猪,2,标准,2,冬,3,5,,,26,5,,5.10002243694538
太湖母猪,0,偏瘦,1,秋,2,5,,,17,5,,4.738418111375097
二元母猪,5,标准,2,夏,1,3,,4,,,,2.7759955934652902
太湖母猪,0,很瘦,0,春,0,4,,,8,4,,4.810218280245483
荣昌母猪,1,偏瘦,1,春,0,5,,,,,4,3.5946316463259262
海波儿猪,2,很胖,4,春,0,1,,,,,7,3.251258032419493
太湖母猪,3,很胖,4,秋,2,2,6,,,,,3.2980514592229424
太湖母猪,3,很瘦,0,夏,1,1,,,21,1,,3.445505428316675
海波儿猪,2,标准,2,秋,2,5,,,,,7,3.3276489828249978
二元母猪,5,很瘦,0,秋,2,6,,6,,,,2.135028086596205
太湖母猪,3,标准,2,春,0,2,,,28,2,,3.989613842763831
荣昌母猪,1,标准,2,春,0,6,,,8,6,,5.192014954730013
荣昌母猪,1,很胖,4,冬,3,6,,,19,6,,4.984406051713182
苏太母猪,4,标准,2,夏,1,4,2,,,,,3.412234764072709
太湖母猪,3,偏瘦,1,冬,3,4,,,17,4,,4.428650417780817
海波儿猪,2,标准,2,春,0,1,,,,,5,3.5026990580799278
太湖母猪,3,标准,2,夏,1,2,,,24,2,,3.979314617165709
太湖母猪,0,偏瘦,1,夏,1,5,,2,,,,2.1830492402019352
海波儿猪,2,标准,2,秋,2,3,9,,,,,3.1207674817660567
荣昌母猪,1,偏胖,3,夏,1,6,,,,,1,3.2710710195390496
太湖母猪,3,偏胖,3,春,0,1,,,14,1,,3.3389159970459277
荣昌母猪,1,很胖,4,秋,2,6,6,,,,,2.8838722525442977
太湖母猪,0,很瘦,0,秋,2,3,,6,,,,2.209376313750246
荣昌母猪,1,偏胖,3,秋,2,2,,,,,3,3.192033338941604
荣昌母猪,1,偏瘦,1,夏,1,4,,,13,4,,4.814622485692078
苏太母猪,4,很瘦,0,夏,1,3,,,1,3,,4.240191384205861
荣昌母猪,1,偏瘦,1,冬,3,1,8,,,,,3.347905632050263
太湖母猪,3,偏胖,3,夏,1,2,,,12,2,,3.663370310973233
太湖母猪,3,很瘦,0,冬,3,5,,,,,2,3.9912025286874964
太湖母猪,0,偏胖,3,夏,1,1,,,25,1,,3.354300265683457
苏太母猪,4,标准,2,春,0,3,,,,,7,3.449352273879222
海波儿猪,2,很瘦,0,夏,1,2,,8,,,,2.1370223271203357
太湖母猪,0,很胖,4,夏,1,6,9,,,,,3.116986490550002
荣昌母猪,1,偏胖,3,秋,2,4,,9,,,,2.5630772322734874
太湖母猪,0,偏胖,3,夏,1,5,,,7,5,,4.810563769062921
太湖母猪,0,很胖,4,夏,1,5,,,21,5,,4.610131187241165
二元母猪,5,很瘦,0,冬,3,1,5,,,,,3.6526787419641087
苏太母猪,4,偏胖,3,夏,1,4,5,,,,,3.005015855355496
荣昌母猪,1,很胖,4,冬,3,2,9,,,,,3.0368252970691145
荣昌母猪,1,偏胖,3,夏,1,1,,,,,1,3.401830259479688
苏太母猪,4,标准,2,冬,3,1,1,,,,,2.9692593982932536
太湖母猪,0,很瘦,0,春,0,2,4,,,,,2.8993389161878014
太湖母猪,0,偏胖,3,春,0,4,2,,,,,2.842859308956613
苏太母猪,4,很胖,4,冬,3,2,7,,,,,3.190782667560807
太湖母猪,0,标准,2,春,0,3,,,,,3,3.3956183404114264
太湖母猪,3,标准,2,夏,1,1,,7,,,,2.1933415659822835
